feature,coefficient
destination_CCU,68240.24189434973
aircraft_type_Airbus A320,-56214.90601492718
class_First Class,48061.14430482764
class_Economy,-39661.453405468805
aircraft_type_Boeing 737,17012.289266073614
seasonality_Regular,-16562.037895604877
destination_CGP,-15941.46430513171
destination_BZL,-15876.785763271017
destination_JSR,-15702.943557775274
destination_RJH,-15647.993993385327
destination_SPD,-15570.218835098822
destination_DAC,-15441.253204268283
destination_ZYL,-15322.12532731166
destination_CXB,-14952.36292303471
aircraft_type_Boeing 787,14727.05973854437
seasonality_Hajj,14555.367330475567
aircraft_type_Boeing 777,12648.52295992948
route_RJH_CCU,12436.45984161451
aircraft_type_Airbus A350,11827.034050379736
route_JSR_CCU,11535.386351676787
route_ZYL_CCU,9497.507268421215
route_DAC_CCU,8995.156856230291
route_JSR_KUL,-8525.968061992195
route_CGP_CCU,8456.160061899045
class_Business,-8399.690899358877
route_CXB_CCU,8201.412368986714
route_BZL_JFK,7628.375712158507
route_SPD_BKK,7324.271269241617
destination_KUL,7283.418109087663
destination_JED,7000.52103263655
route_ZYL_BZL,-6955.883354478968
days_before_departure,-6906.85941492892
destination_SIN,6712.976074890865
route_DAC_DEL,6662.058003557827
route_SPD_CCU,6298.003999548631
route_RJH_SIN,6241.910405702854
destination_IST,6140.998825877356
route_CGP_DEL,6113.89701528114
route_BZL_BKK,-5915.605441641351
route_SPD_CGP,-5793.274368558815
destination_BKK,5599.319495754632
route_CXB_JSR,-5459.199212253978
destination_DXB,5432.351549414836
route_BZL_JED,5352.995065249337
destination_LHR,5310.3667360729405
route_ZYL_JSR,-5292.6052048309175
route_ZYL_IST,5188.94770422239
route_CXB_YYZ,5182.141931625136
route_CXB_DEL,-5115.391279379784
route_DAC_YYZ,5111.780347625767
route_BZL_KUL,4811.678745494136
route_DAC_CXB,-4624.722147864681
route_ZYL_BKK,4620.663255978024
route_RJH_KUL,4495.304370159364
route_CXB_DXB,-4383.829310293202
route_ZYL_KUL,4228.150343873344
route_ZYL_JFK,-4197.804889099526
route_CGP_SPD,-4133.442824961319
route_CGP_DXB,-4119.049143607605
route_RJH_YYZ,-4098.767930709267
route_CGP_BZL,-4012.620115731136
route_SPD_DXB,3993.0397767047884
seasonality_Eid,3961.386394945618
destination_DOH,3924.6011815123693
route_CXB_JFK,3824.576262770928
route_SPD_KUL,3802.4804510947934
route_BZL_YYZ,-3790.7818445773805
route_RJH_DEL,-3771.179343705805
route_CGP_JED,3764.55292514445
route_ZYL_SPD,-3698.6851944902423
route_CXB_RJH,-3659.729627975252
route_DAC_RJH,-3638.7476955268253
route_ZYL_DXB,3600.8061143815476
duration_hrs,3490.7747908645288
route_SPD_RJH,-3447.715284552736
route_ZYL_CGP,-3443.971111912981
route_BZL_DXB,3417.7624036169086
route_CXB_ZYL,-3399.0996359224036
route_JSR_ZYL,-3354.637052213085
route_CXB_LHR,3353.4304290249383
route_CGP_DOH,3302.248354249995
route_JSR_DXB,3300.190746472803
route_SPD_DAC,-3257.472167300403
route_SPD_YYZ,3256.6866371085516
route_JSR_YYZ,-3202.4601375099414
route_CXB_DAC,-3147.3596330710297
route_SPD_BZL,-3124.8469717654393
destination_JFK,3100.839356982553
route_JSR_LHR,-3096.209750319591
route_RJH_SPD,-3088.9967289436863
route_CXB_DOH,3039.039852435098
destination_YYZ,2922.8310587398582
route_BZL_DAC,-2919.888816159384
route_CGP_CXB,-2901.100388094206
route_DAC_ZYL,-2887.5755518720443
route_SPD_SIN,-2845.794853302843
route_CGP_DAC,-2821.543704695061
route_BZL_CCU,2820.1551459725365
route_ZYL_LHR,2810.801209501442
route_CGP_IST,2796.65738504695
destination_DEL,2786.682593957547
route_CGP_RJH,-2752.6531168764286
route_CGP_KUL,-2713.520407848833
route_CGP_JFK,-2672.055006263214
airline_Qatar Airways,2635.996474850883
route_RJH_IST,-2560.2717266608656
route_RJH_JSR,-2467.016515469778
route_JSR_IST,-2466.5451915097647
route_SPD_ZYL,-2463.84817188557
airline_IndiGo,2389.3353691928824
route_CGP_LHR,2286.027773703492
route_JSR_SIN,2280.793772281739
route_RJH_BKK,-2264.942973046459
route_BZL_CGP,-2259.614094952131
route_CXB_BKK,2256.302989748766
route_CXB_SIN,2240.4851092968456
route_BZL_DOH,-2222.1016866137775
route_CXB_JED,-2221.3705951664615
route_BZL_LHR,2221.3398777846446
route_ZYL_RJH,-2211.569177617265
route_DAC_SPD,-2164.7407386170053
route_DAC_DXB,-2135.2453867984705
route_CXB_IST,2124.881616495758
route_JSR_RJH,2043.366669154004
route_BZL_ZYL,-2020.4174042910454
route_BZL_RJH,-1980.9457599908314
airline_Lufthansa,-1980.582238126524
airline_FlyDubai,-1975.2236803466922
route_CGP_SIN,1962.7263160440693
seasonality_Winter Holidays,-1954.7158298162922
route_RJH_CXB,-1944.0646049856996
route_CXB_SPD,-1935.824397202155
airline_AirAsia,1934.1499795663585
route_SPD_LHR,-1921.3299257518943
airline_Singapore Airlines,-1894.4824847632135
route_RJH_DAC,-1875.6334519997663
airline_Emirates,-1874.4256472006064
route_RJH_CGP,-1829.7163039231036
route_RJH_DOH,1804.7896535299515
airline_Air Astra,-1762.3173339610566
route_RJH_DXB,1758.676348938102
route_BZL_CXB,-1734.3068037834169
route_CXB_CGP,-1686.0046394799683
route_DAC_JFK,-1655.3285032473764
