feature,coefficient
destination_CCU,68232.0053838965
aircraft_type_Airbus A320,-56017.9951422964
class_First Class,48058.09484524998
class_Economy,-39658.9260377869
aircraft_type_Boeing 737,17082.618318398323
seasonality_Regular,-16560.43110291023
destination_CGP,-15918.51126662805
destination_BZL,-15843.703217663564
destination_JSR,-15672.823212647556
destination_RJH,-15623.287323615936
destination_SPD,-15549.492118754319
destination_DAC,-15406.03549439872
destination_ZYL,-15302.25166105146
destination_CXB,-14933.896237420122
aircraft_type_Boeing 787,14797.482278621555
seasonality_Hajj,14539.508432333985
aircraft_type_Boeing 777,12479.698078544634
route_RJH_CCU,12438.515398460975
aircraft_type_Airbus A350,11658.19647320375
route_JSR_CCU,11544.558169512533
route_ZYL_CCU,9474.754181090111
route_DAC_CCU,8992.518801096612
route_JSR_KUL,-8495.370776787891
route_CGP_CCU,8451.384356886472
class_Business,-8399.168807897377
route_CXB_CCU,8189.1170337846415
route_BZL_JFK,7560.485501211117
destination_KUL,7320.225213671538
route_SPD_BKK,7285.84357975415
destination_JED,7114.057250158942
route_ZYL_BZL,-6942.035917605906
days_before_departure,-6906.713936559911
destination_SIN,6737.8662446323415
route_DAC_DEL,6642.668428087093
route_SPD_CCU,6291.589791532642
route_RJH_SIN,6217.345183075371
destination_IST,6216.341084330665
route_CGP_DEL,6093.122225865136
route_BZL_BKK,-5886.330103798177
route_SPD_CGP,-5809.658610108612
destination_BKK,5651.6229130800075
route_CXB_JSR,-5454.829895150093
destination_DXB,5424.120169679491
route_BZL_JED,5350.8680230185355
route_ZYL_JSR,-5290.012479077184
destination_LHR,5284.151489853783
route_ZYL_IST,5185.998833666838
route_CXB_YYZ,5127.594094699106
route_CXB_DEL,-5104.781379637981
route_DAC_YYZ,5065.802998359673
route_BZL_KUL,4803.174528927574
route_ZYL_BKK,4618.5778879218
route_DAC_CXB,-4617.145632797984
route_RJH_KUL,4473.532441691186
route_CXB_DXB,-4372.143420008695
route_ZYL_KUL,4223.431992931593
route_ZYL_JFK,-4202.106478044904
route_CGP_SPD,-4150.478087621386
route_CGP_DXB,-4110.6351566227795
route_RJH_YYZ,-4108.912389334609
route_SPD_DXB,3991.7436294137847
route_CGP_BZL,-3989.119940779591
seasonality_Eid,3956.4978868171474
destination_DOH,3897.932552976419
route_BZL_YYZ,-3815.0325713674724
route_SPD_KUL,3783.9258452019903
route_CXB_JFK,3773.6386553372677
route_CGP_JED,3765.321705526239
route_RJH_DEL,-3735.3585124407045
duration_hrs,3696.5812306119874
route_ZYL_SPD,-3687.137633305446
route_CXB_RJH,-3676.9579320205276
route_DAC_RJH,-3620.2954323075173
route_ZYL_DXB,3588.5190150781905
route_ZYL_CGP,-3433.501100744914
route_SPD_RJH,-3418.513501226038
route_BZL_DXB,3402.878724209385
route_CXB_ZYL,-3398.6809224911576
route_JSR_ZYL,-3356.3713394450747
route_CXB_LHR,3331.5013413212564
route_JSR_DXB,3293.582264530314
route_CGP_DOH,3282.659521005876
route_SPD_DAC,-3257.1682812976287
route_SPD_YYZ,3225.2463015382787
route_JSR_YYZ,-3223.579612370009
route_CXB_DAC,-3149.132342316699
route_SPD_BZL,-3138.97582097553
route_JSR_LHR,-3091.139333154765
route_RJH_SPD,-3060.6153057694933
route_CXB_DOH,3022.800337057557
route_BZL_DAC,-2905.818674463599
route_DAC_ZYL,-2867.464463523464
route_CGP_CXB,-2863.6829332997954
route_BZL_CCU,2849.567652287793
destination_DEL,2848.3335004169153
route_SPD_SIN,-2846.916872081384
destination_JFK,2844.6755171802683
route_CGP_DAC,-2814.750909295153
route_ZYL_LHR,2807.575659673421
route_CGP_IST,2791.1614479608797
route_CGP_RJH,-2764.8916159261566
route_CGP_JFK,-2699.4673773711265
route_CGP_KUL,-2682.449066219077
destination_YYZ,2678.669209827412
airline_Qatar Airways,2634.7728646248306
route_RJH_IST,-2531.1234389221027
